"Flows from January 01, 2000 to March 31, 2023",,,,,,,
,,,,,,,
Query Type:,FLOWS,,,,,,
Data Points:,"GRA Purchases, GRA Repurchases, GRA Charges",,,,,,
Members:,"Afghanistan, Islamic Republic of, Albania, Algeria, Andorra, Angola, Antigua and Barbuda, Argentina, Armenia, Republic of, Australia, Austria, Azerbaijan, Bahamas, The, Bahrain, Kingdom of, Bangladesh, Barbados, Belarus, Republic of, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cambodia, Cameroon, Canada, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo, Democratic Republic of, Congo, Republic of, Costa Rica, Cote d'Ivoire, Croatia, Republic of, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Republic of, Eswatini, The Kingdom of, Ethiopia, Fiji, Finland, France, Gabon, Gambia, The, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, HKMA, Hungary, Iceland, India, Indonesia, Iran, Islamic Republic of, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Republic of, Kenya, Kiribati, Korea, Kosovo, Kuwait, Kyrgyz Republic, Lao People's Democratic Republic, Latvia, Republic of, Lebanon, Lesotho, Liberia, Libya, Lithuania, Republic of, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Mauritania, Mauritius, Mexico, Micronesia, Federated States of, Moldova, Republic of, Mongolia, Montenegro, Republic of, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, The, New Zealand, Nicaragua, Niger, Nigeria, North Macedonia, Republic of, Norway, Oman, Pakistan, Palau, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Republic of, Portugal, Qatar, Romania, Russian Federation, Rwanda, Samoa, San Marino, Republic of, Sao Tome & Principe, Saudi Arabia, Senegal, Serbia, Republic of, Seychelles, Sierra Leone, Singapore, Slovak Republic, Slovenia, Republic of, Solomon Islands, Somalia, South Africa, South Sudan, Spain, Sri Lanka, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, Sudan, Suriname, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Republic of, Tanzania, Thailand, Timor-Leste, The Democratic Republic of, Togo, Tonga, Trinidad and Tobago, Tunisia, TÃ¼rkiye, Republic of, Turkmenistan, Republic of, Tuvalu, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Uruguay, Uzbekistan, Republic of, Vanuatu, Venezuela, Vietnam, Yemen, Republic of, Zambia, Zimbabwe",,,,,,
Start Date:,1/1/2000,,,,,,
End Date:,3/31/2023,,,,,,
Output Options:,FLOWS_DETAILS,,,,,,
,,,,,,,
Flow Type,Member,Member Code,Description,Transaction Value Date,Amount,Original Disbursement Date,Original Arrangement Date
GRA Repurchases,"North Macedonia, Republic of",MKD,Compensatory Financing Facility,11/7/2003,1722500,8/9/1999,n.a.
GRA Repurchases,"North Macedonia, Republic of",MKD,Compensatory Financing Facility,2/6/2004,1722500,8/9/1999,n.a.
GRA Repurchases,"North Macedonia, Republic of",MKD,Compensatory Financing Facility,5/7/2004,1722500,8/9/1999,n.a.
GRA Repurchases,"North Macedonia, Republic of",MKD,Compensatory Financing Facility,8/6/2004,1722500,8/9/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,4/11/2002,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,4/18/2002,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,7/11/2002,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,7/18/2002,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,10/10/2002,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,10/17/2002,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,1/14/2003,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,1/16/2003,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,4/14/2003,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,4/17/2003,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,7/14/2003,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,7/18/2003,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,10/14/2003,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,10/17/2003,17000000,1/20/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,1/14/2004,27087500,1/15/1999,n.a.
GRA Repurchases,Pakistan,PAK,Compensatory Financing Facility,1/16/2004,17000000,1/20/1999,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,9/21/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,9/28/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,10/11/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,10/19/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,10/25/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,10/31/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,11/8/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Russian Federation,RUS,Compensatory Financing Facility,11/15/2001,269568750,7/22/1998,n.a.
GRA Repurchases,Rwanda,RWA,Compensatory Financing Facility,1/31/2000,1115625,11/1/1995,n.a.
GRA Repurchases,Rwanda,RWA,Compensatory Financing Facility,4/30/2000,1115625,11/1/1995,n.a.
GRA Repurchases,Rwanda,RWA,Compensatory Financing Facility,7/31/2000,1115625,11/1/1995,n.a.
GRA Repurchases,Rwanda,RWA,Compensatory Financing Facility,10/31/2000,1115625,11/1/1995,n.a.
GRA Repurchases,Somalia,SOM,Compensatory Financing Facility,3/25/2020,13300000,3/1/1985,n.a.
GRA Repurchases,Somalia,SOM,Compensatory Financing Facility,3/25/2020,15225000,3/4/1985,n.a.
GRA Repurchases,Sudan,SDN,Compensatory Financing Facility,2/1/2000,2842951,4/13/1981,n.a.
GRA Repurchases,Sudan,SDN,Compensatory Financing Facility,2/29/2000,1107049,4/13/1981,n.a.
GRA Repurchases,Sudan,SDN,Compensatory Financing Facility,6/29/2000,737839,4/13/1981,n.a.
