Facility,Date of Arrangement,Expiration Date,Amount Agreed,Amount Drawn,Amount Outstanding,Country
Standby Arrangement,1967-10-27,1968-10-26,50000,50000,0,Morocco
Standby Arrangement,1966-09-23,1967-09-22,50000,0,0,Morocco
Standby Arrangement,1965-09-23,1966-09-22,45000,0,0,Morocco
Standby Arrangement,1959-11-15,1960-11-14,25000,0,0,Morocco
Standby Arrangement,1981-06-12,1982-06-11,27000,27000,0,Myanmar
Standby Arrangement,1978-07-28,1979-07-27,30000,30000,0,Myanmar
Standby Arrangement,1977-05-06,1978-05-05,35000,35000,0,Myanmar
Standby Arrangement,1974-11-22,1975-11-21,31500,24000,0,Myanmar
Standby Arrangement,1973-02-02,1974-02-01,13500,13500,0,Myanmar
Standby Arrangement,1969-11-24,1970-11-23,12000,11990,0,Myanmar
Standby Arrangement,1985-12-23,1987-04-22,18650,18650,0,Nepal
Standby Arrangement,1976-02-18,1977-02-17,4495,4495,0,Nepal
Standby Arrangement,1957-09-12,1958-03-12,68750,0,0,"Netherlands, The"
Standby Arrangement,1967-10-25,1968-10-24,87000,60000,0,New Zealand
Standby Arrangement,1991-09-18,1993-03-17,40860,17030,0,Nicaragua
Standby Arrangement,1979-05-14,1979-08-20,34000,8500,0,Nicaragua
Standby Arrangement,1972-02-09,1973-02-08,10750,4000,0,Nicaragua
Standby Arrangement,1970-08-12,1971-08-11,14000,13000,0,Nicaragua
Standby Arrangement,1969-05-26,1970-05-25,15000,14000,0,Nicaragua
Standby Arrangement,1968-03-01,1969-02-28,19000,19000,0,Nicaragua
Standby Arrangement,1964-04-01,1965-03-31,11250,11250,0,Nicaragua
Standby Arrangement,1963-03-01,1964-02-29,11250,11250,0,Nicaragua
Standby Arrangement,1960-11-03,1961-11-02,7500,6000,0,Nicaragua
Standby Arrangement,1958-09-15,1959-03-14,7500,1880,0,Nicaragua
Standby Arrangement,1957-10-07,1958-04-06,7500,3750,0,Nicaragua
Standby Arrangement,1956-11-21,1957-05-20,3750,1880,0,Nicaragua
Standby Arrangement,1994-03-04,1995-03-03,18596,11109,0,Niger
Standby Arrangement,1986-12-05,1987-12-04,10110,10110,0,Niger
Standby Arrangement,1985-12-05,1986-12-04,13480,13480,0,Niger
Standby Arrangement,1984-12-05,1985-12-04,16000,16000,0,Niger
Standby Arrangement,1983-10-05,1984-12-04,18000,18000,0,Niger
Standby Arrangement,2000-08-04,2001-10-31,788940,0,0,Nigeria
Standby Arrangement,1991-01-09,1992-04-08,319000,0,0,Nigeria
Standby Arrangement,1989-02-03,1990-04-30,475000,0,0,Nigeria
Standby Arrangement,1987-01-30,1988-01-31,650000,0,0,Nigeria
Standby Arrangement,2005-08-31,2008-08-30,51675,10500,0,"North Macedonia, Republic of"
Standby Arrangement,2003-04-30,2004-08-15,20000,20000,0,"North Macedonia, Republic of"
Standby Arrangement,1995-05-05,1996-06-04,22300,22300,0,"North Macedonia, Republic of"
Standby Arrangement,2008-11-24,2011-09-30,7235900,4936035,0,Pakistan
Standby Arrangement,2000-11-29,2001-09-30,465000,465000,0,Pakistan
Standby Arrangement,1995-12-13,1997-09-30,562590,294690,0,Pakistan
Standby Arrangement,1993-09-16,1994-02-22,265400,88000,0,Pakistan
Standby Arrangement,1988-12-28,1990-11-30,273150,194480,0,Pakistan
Standby Arrangement,1977-03-09,1978-03-08,80000,80000,0,Pakistan
Standby Arrangement,1974-11-11,1975-11-10,75000,75000,0,Pakistan
Standby Arrangement,1973-08-11,1974-08-10,75000,75000,0,Pakistan
Standby Arrangement,1972-05-18,1973-05-17,100000,84000,0,Pakistan
Standby Arrangement,1968-10-17,1969-10-16,75000,75000,0,Pakistan
Standby Arrangement,1965-03-16,1966-03-15,37500,37500,0,Pakistan
Standby Arrangement,1958-12-08,1959-09-22,25000,0,0,Pakistan
Standby Arrangement,2000-06-30,2002-03-29,64000,0,0,Panama
Standby Arrangement,1995-11-29,1997-03-31,84300,84300,0,Panama
Standby Arrangement,1992-02-24,1994-09-23,74170,54570,0,Panama
Standby Arrangement,1985-07-15,1987-03-31,90000,90000,0,Panama
Standby Arrangement,1983-06-24,1984-12-31,150000,150000,0,Panama
Standby Arrangement,1982-04-28,1983-04-27,29700,0,0,Panama
Standby Arrangement,1980-04-18,1981-12-31,90000,75250,0,Panama
Standby Arrangement,1979-03-23,1980-03-22,30000,0,0,Panama
Standby Arrangement,1978-06-09,1979-03-22,25000,0,0,Panama
Standby Arrangement,1977-04-06,1978-04-05,11250,0,0,Panama
Standby Arrangement,1975-11-08,1976-11-07,9000,0,0,Panama
Standby Arrangement,1974-10-16,1975-10-15,9000,0,0,Panama
Standby Arrangement,1973-08-03,1974-08-02,9000,0,0,Panama
Standby Arrangement,1972-06-22,1973-06-21,9000,0,0,Panama
Standby Arrangement,1971-03-23,1972-03-22,14000,0,0,Panama
Standby Arrangement,1970-02-03,1971-02-02,10000,0,0,Panama
Standby Arrangement,1969-01-16,1970-01-15,3200,2200,0,Panama
Standby Arrangement,1968-05-08,1969-01-16,3000,3000,0,Panama
Standby Arrangement,1965-07-26,1966-07-25,7000,0,0,Panama
Standby Arrangement,2000-03-29,2001-09-28,85540,85540,0,Papua New Guinea
Standby Arrangement,1995-07-14,1997-12-15,71480,35340,0,Papua New Guinea
Standby Arrangement,1991-07-31,1992-09-30,26360,0,0,Papua New Guinea
Standby Arrangement,1990-04-25,1991-06-24,26360,0,0,Papua New Guinea
Standby Arrangement,2006-05-31,2008-08-31,30000,0,0,Paraguay
Standby Arrangement,2003-12-15,2005-11-30,50000,0,0,Paraguay
Standby Arrangement,1969-01-01,1969-12-31,7500,0,0,Paraguay
Standby Arrangement,1968-01-01,1968-12-31,8000,0,0,Paraguay
Standby Arrangement,1966-09-01,1967-08-31,7500,0,0,Paraguay
Standby Arrangement,1964-11-23,1965-11-22,5000,0,0,Paraguay
Standby Arrangement,1961-12-11,1963-03-10,5000,0,0,Paraguay
Standby Arrangement,1960-10-10,1961-10-09,3500,1000,0,Paraguay
Standby Arrangement,1959-08-13,1960-08-12,2750,0,0,Paraguay
Standby Arrangement,1958-07-30,1959-07-29,1500,250,0,Paraguay
Standby Arrangement,1957-07-30,1958-07-29,5500,4000,0,Paraguay
Standby Arrangement,2007-01-26,2009-02-28,172368,0,0,Peru
Standby Arrangement,2004-06-09,2006-08-16,287279,0,0,Peru
Standby Arrangement,2002-02-01,2004-02-29,255000,0,0,Peru
Standby Arrangement,2001-03-12,2002-01-18,128000,0,0,Peru
Standby Arrangement,1984-04-26,1985-04-24,250000,30000,0,Peru
Standby Arrangement,1979-08-10,1980-12-31,285000,248000,0,Peru
Standby Arrangement,1978-09-15,1979-08-09,184000,64000,0,Peru
Standby Arrangement,1977-11-18,1978-09-14,90000,10000,0,Peru
Standby Arrangement,1970-04-17,1971-04-16,35000,34000,0,Peru
Standby Arrangement,1968-11-08,1969-11-07,75000,55000,0,Peru
Standby Arrangement,1967-08-18,1968-08-17,42500,42500,0,Peru
Standby Arrangement,1966-03-31,1967-03-30,37500,0,0,Peru
Standby Arrangement,1965-04-08,1966-03-31,30000,0,0,Peru
Standby Arrangement,1964-03-01,1965-02-28,30000,0,0,Peru
Standby Arrangement,1963-03-01,1964-02-29,30000,0,0,Peru
Standby Arrangement,1962-03-01,1963-02-28,30000,0,0,Peru
Standby Arrangement,1961-03-01,1962-02-28,30000,0,0,Peru
Standby Arrangement,1960-03-01,1961-02-28,27500,0,0,Peru
Standby Arrangement,1959-03-01,1960-02-29,13000,2500,0,Peru
Standby Arrangement,1958-02-10,1959-02-09,25000,12000,0,Peru
Standby Arrangement,1954-02-18,1958-02-10,12500,0,0,Peru
Standby Arrangement,1998-04-01,2000-12-31,1020790,783230,0,Philippines
Standby Arrangement,1991-02-20,1993-03-31,334200,334200,0,Philippines
Standby Arrangement,1986-10-24,1988-08-23,198000,198000,0,Philippines
Standby Arrangement,1984-12-14,1986-06-13,615000,403000,0,Philippines
Standby Arrangement,1983-02-25,1984-02-28,315000,100000,0,Philippines
Standby Arrangement,1980-02-27,1981-12-31,410000,410000,0,Philippines
Standby Arrangement,1979-06-11,1979-12-31,105000,91251,0,Philippines
Standby Arrangement,1975-05-31,1976-04-01,29060,29060,0,Philippines
Standby Arrangement,1974-07-16,1975-05-31,38750,38750,0,Philippines
Standby Arrangement,1973-05-16,1974-05-15,45000,0,0,Philippines
Standby Arrangement,1972-05-11,1973-05-10,45000,35000,0,Philippines
Standby Arrangement,1971-03-16,1972-03-15,45000,35000,0,Philippines
Standby Arrangement,1970-02-20,1971-02-19,27500,27500,0,Philippines
Standby Arrangement,1968-03-27,1969-03-26,27500,27500,0,Philippines
Standby Arrangement,1967-01-05,1968-01-04,55000,55000,0,Philippines
Standby Arrangement,1966-04-12,1967-01-04,26700,0,0,Philippines
Standby Arrangement,1965-04-12,1966-04-11,40400,0,0,Philippines
Standby Arrangement,1964-04-12,1965-04-11,40400,0,0,Philippines
Standby Arrangement,1963-04-12,1964-04-11,40400,0,0,Philippines
Standby Arrangement,1962-04-12,1963-04-11,40400,0,0,Philippines
Standby Arrangement,1994-08-05,1996-03-04,333300,283300,0,"Poland, Republic of"
Standby Arrangement,1993-03-08,1994-04-08,476000,357000,0,"Poland, Republic of"
Standby Arrangement,1990-02-05,1991-03-04,545000,357500,0,"Poland, Republic of"
Standby Arrangement,1983-10-07,1985-02-28,445000,259300,0,Portugal
Standby Arrangement,1978-06-05,1979-06-04,57350,0,0,Portugal
Standby Arrangement,1977-04-25,1978-04-24,42400,42400,0,Portugal
Standby Arrangement,2013-09-27,2015-09-26,1751340,0,0,Romania
Standby Arrangement,2011-03-31,2013-06-30,3090600,0,0,Romania
Standby Arrangement,2009-05-04,2011-03-30,11443000,10569000,0,Romania
Standby Arrangement,2004-07-07,2006-07-06,250000,0,0,Romania
Standby Arrangement,2001-10-31,2003-10-15,300000,300000,0,Romania
Standby Arrangement,1999-08-05,2001-02-28,400000,139750,0,Romania
Standby Arrangement,1997-04-22,1998-05-21,301500,120600,0,Romania
Standby Arrangement,1994-05-11,1997-04-22,320495,94265,0,Romania
Standby Arrangement,1992-05-29,1993-03-28,314040,261700,0,Romania
Standby Arrangement,1991-04-11,1992-04-10,380500,318100,0,Romania
Standby Arrangement,1981-06-15,1984-01-31,1102500,817500,0,Romania
Standby Arrangement,1977-09-09,1978-09-08,64125,64125,0,Romania
Standby Arrangement,1975-10-03,1976-10-02,95000,95000,0,Romania
Standby Arrangement,1999-07-28,2000-12-27,3300000,471429,0,Russian Federation
Standby Arrangement,1995-04-11,1996-03-26,4313100,4313100,0,Russian Federation
Standby Arrangement,1992-08-05,1993-01-04,719000,719000,0,Russian Federation
Standby Arrangement,1979-10-31,1980-10-30,5000,0,0,Rwanda
Standby Arrangement,1969-04-28,1970-04-27,2000,2000,0,Rwanda
Standby Arrangement,1968-04-20,1969-04-19,3000,3000,0,Rwanda
Standby Arrangement,1967-04-20,1968-04-19,2000,2000,0,Rwanda
Standby Arrangement,1966-04-15,1967-04-14,5000,5000,0,Rwanda
Standby Arrangement,1984-07-09,1985-07-08,3375,3375,0,Samoa
Standby Arrangement,1983-06-27,1984-06-26,3375,3375,0,Samoa
Standby Arrangement,1979-08-17,1980-08-16,750,0,0,Samoa
Standby Arrangement,1978-02-06,1979-02-05,725,725,0,Samoa
Standby Arrangement,1977-01-31,1978-01-30,585,0,0,Samoa
Standby Arrangement,1975-11-12,1976-11-11,500,500,0,Samoa
Standby Arrangement,2021-06-07,2023-01-10,388290,388290,388290,Senegal
Standby Arrangement,1994-03-02,1994-08-29,47560,30914,0,Senegal
Standby Arrangement,1987-10-26,1988-10-25,21275,21275,0,Senegal
Standby Arrangement,1986-11-10,1987-09-28,34000,34000,0,Senegal
Standby Arrangement,1985-01-16,1986-07-15,76600,76600,0,Senegal
Standby Arrangement,1983-09-19,1984-09-18,63000,63000,0,Senegal
Standby Arrangement,1982-11-24,1983-09-19,47250,5910,0,Senegal
Standby Arrangement,1981-09-11,1982-09-10,63000,63000,0,Senegal
Standby Arrangement,1979-03-30,1980-03-29,10500,10500,0,Senegal
Standby Arrangement,2022-12-19,2024-12-18,1898920,785760,785760,"Serbia, Republic of"
Standby Arrangement,2015-02-23,2018-02-22,935400,0,0,"Serbia, Republic of"
Standby Arrangement,2011-09-29,2013-03-28,935400,0,0,"Serbia, Republic of"
Standby Arrangement,2009-01-16,2011-04-15,2619120,1367743,0,"Serbia, Republic of"
Standby Arrangement,2001-06-11,2002-05-13,200000,200000,0,"Serbia, Republic of"
Standby Arrangement,2008-11-14,2009-12-22,17600,11000,0,Seychelles
Standby Arrangement,1986-11-14,1987-11-13,23160,8000,0,Sierra Leone
Standby Arrangement,1984-02-03,1985-02-02,50200,19000,0,Sierra Leone
Standby Arrangement,1979-11-02,1980-11-01,17000,17000,0,Sierra Leone
Standby Arrangement,1977-06-03,1978-06-02,9020,7000,0,Sierra Leone
Standby Arrangement,1969-03-28,1970-03-27,2500,0,0,Sierra Leone
Standby Arrangement,1968-01-17,1969-01-16,3600,0,0,Sierra Leone
Standby Arrangement,1966-11-01,1967-10-31,7500,6900,0,Sierra Leone
Standby Arrangement,1994-07-22,1996-03-21,115800,32150,0,Slovak Republic
Standby Arrangement,1983-06-22,1984-06-21,2400,960,0,Solomon Islands
Standby Arrangement,1981-05-29,1982-05-28,1600,800,0,Solomon Islands
Standby Arrangement,1987-06-29,1988-06-28,33150,5530,0,Somalia
Standby Arrangement,1985-02-22,1986-09-30,20100,20100,0,Somalia
Standby Arrangement,1982-07-15,1984-01-14,60000,60000,0,Somalia
Standby Arrangement,1981-07-15,1982-07-14,43130,43130,0,Somalia
Standby Arrangement,1980-02-27,1981-02-26,11500,6000,0,Somalia
Standby Arrangement,1970-01-20,1971-01-19,3980,0,0,Somalia
Standby Arrangement,1969-01-20,1970-01-19,6000,0,0,Somalia
Standby Arrangement,1968-01-19,1969-01-18,7000,3700,0,Somalia
Standby Arrangement,1967-01-19,1968-01-18,5000,4000,0,Somalia
Standby Arrangement,1966-01-19,1967-01-18,2800,0,0,Somalia
Standby Arrangement,1965-01-19,1966-01-18,5600,5600,0,Somalia
Standby Arrangement,1964-05-01,1965-01-18,4700,4700,0,Somalia
Standby Arrangement,1982-11-03,1983-12-31,364000,159000,0,South Africa
Standby Arrangement,1976-08-06,1977-08-05,152000,152000,0,South Africa
Standby Arrangement,1976-01-21,1976-08-06,80000,80000,0,South Africa
Standby Arrangement,1961-07-06,1962-07-05,75000,0,0,South Africa
Standby Arrangement,1958-04-08,1959-04-07,25000,11200,0,South Africa
Standby Arrangement,1978-02-06,1979-02-05,143188,0,0,Spain
Standby Arrangement,1960-08-17,1961-03-20,25000,0,0,Spain
Standby Arrangement,1959-08-17,1960-08-16,25000,0,0,Spain
Standby Arrangement,2009-07-24,2012-07-23,1653600,1653600,0,Sri Lanka
Standby Arrangement,2001-04-20,2002-09-19,200000,200000,0,Sri Lanka
Standby Arrangement,1983-09-14,1984-07-31,100000,50000,0,Sri Lanka
Standby Arrangement,1977-12-02,1978-12-01,93000,93000,0,Sri Lanka
Standby Arrangement,1974-04-30,1975-04-29,24500,7000,0,Sri Lanka
Standby Arrangement,1971-03-18,1972-03-17,24500,24500,0,Sri Lanka
Standby Arrangement,1969-08-12,1970-08-11,19500,19500,0,Sri Lanka
Standby Arrangement,1968-05-06,1969-05-05,19500,19500,0,Sri Lanka
Standby Arrangement,1966-06-15,1967-06-14,25000,25000,0,Sri Lanka
Standby Arrangement,1965-06-15,1966-06-14,30000,22500,0,Sri Lanka
Standby Arrangement,2011-07-27,2014-07-26,52510,47369,0,St. Kitts and Nevis
Standby Arrangement,1984-06-25,1985-06-24,90000,20000,0,Sudan
Standby Arrangement,1983-02-23,1984-03-09,170000,170000,0,Sudan
Standby Arrangement,1982-02-22,1983-02-21,198000,70000,0,Sudan
Standby Arrangement,1974-08-14,1975-08-13,24000,19000,0,Sudan
Standby Arrangement,1973-08-09,1974-08-08,24000,19000,0,Sudan
Standby Arrangement,1972-03-29,1973-03-28,40000,32500,0,Sudan
Standby Arrangement,1968-12-05,1969-12-04,12000,7500,0,Sudan
Standby Arrangement,1967-09-14,1968-09-13,10000,10000,0,Sudan
Standby Arrangement,1966-09-22,1967-09-13,28500,28500,0,Sudan
Standby Arrangement,2016-05-27,2017-04-16,342000,58000,0,Suriname
Standby Arrangement,1964-03-12,1964-12-31,18500,18500,0,Syrian Arab Republic
Standby Arrangement,1962-03-26,1962-11-30,6600,5600,0,Syrian Arab Republic
Standby Arrangement,1960-05-02,1960-11-01,7500,7500,0,Syrian Arab Republic
Standby Arrangement,1996-05-08,1996-12-07,15000,15000,0,"Tajikistan, Republic of"
Standby Arrangement,1986-08-28,1988-02-27,64200,45470,0,Tanzania
Standby Arrangement,1980-09-15,1982-06-30,179600,25000,0,Tanzania
Standby Arrangement,1975-08-21,1976-08-20,10500,0,0,Tanzania
Standby Arrangement,1997-08-20,2000-06-19,2900000,2500000,0,Thailand
Standby Arrangement,1985-06-14,1986-12-31,400000,260000,0,Thailand
Standby Arrangement,1982-11-17,1983-12-31,271500,271500,0,Thailand
Standby Arrangement,1981-06-03,1982-11-16,814500,345000,0,Thailand
Standby Arrangement,1978-07-01,1979-06-30,45250,45250,0,Thailand
Standby Arrangement,1988-03-16,1989-04-15,13000,13000,0,Togo
Standby Arrangement,1986-06-09,1988-03-15,23040,8640,0,Togo
Standby Arrangement,1985-05-17,1986-05-16,15360,15360,0,Togo
Standby Arrangement,1984-05-07,1985-05-06,19000,19000,0,Togo
Standby Arrangement,1983-03-04,1984-04-03,21375,21375,0,Togo
Standby Arrangement,1981-02-13,1983-02-12,47500,7250,0,Togo
Standby Arrangement,1979-06-11,1980-12-31,15000,13250,0,Togo
Standby Arrangement,1990-04-20,1991-03-31,85000,85000,0,Trinidad and Tobago
Standby Arrangement,1989-01-13,1990-02-28,99000,99000,0,Trinidad and Tobago
Standby Arrangement,2013-06-07,2015-12-31,1146000,1002750,0,Tunisia
Standby Arrangement,1986-11-04,1988-05-31,103650,91000,0,Tunisia
Standby Arrangement,1970-01-01,1970-12-31,7500,7500,0,Tunisia
Standby Arrangement,1969-01-01,1969-12-31,6000,4500,0,Tunisia
Standby Arrangement,1967-12-27,1968-12-26,9610,9610,0,Tunisia
Standby Arrangement,1966-12-05,1967-12-04,9600,9600,0,Tunisia
Standby Arrangement,1965-11-12,1966-11-11,5600,5600,0,Tunisia
Standby Arrangement,1964-10-01,1965-09-30,14250,14250,0,Tunisia
Standby Arrangement,2005-05-11,2008-05-10,6662040,6662040,0,"Türkiye, Republic of"
Standby Arrangement,2002-02-04,2005-02-03,12821200,11914000,0,"Türkiye, Republic of"
Standby Arrangement,1994-07-08,1996-03-07,610500,460500,0,"Türkiye, Republic of"
Standby Arrangement,1984-04-04,1985-04-03,225000,168750,0,"Türkiye, Republic of"
Standby Arrangement,1983-06-24,1984-04-03,225000,56250,0,"Türkiye, Republic of"
Standby Arrangement,1980-06-18,1983-06-17,1250000,1250000,0,"Türkiye, Republic of"
Standby Arrangement,1979-07-19,1980-06-17,250000,230000,0,"Türkiye, Republic of"
Standby Arrangement,1978-04-24,1979-07-18,300000,90000,0,"Türkiye, Republic of"
Standby Arrangement,1970-08-17,1971-08-16,90000,90000,0,"Türkiye, Republic of"
Standby Arrangement,1969-07-01,1970-06-30,27000,10000,0,"Türkiye, Republic of"
Standby Arrangement,1968-04-01,1968-12-31,27000,27000,0,"Türkiye, Republic of"
Standby Arrangement,1967-02-15,1967-12-31,27000,27000,0,"Türkiye, Republic of"
Standby Arrangement,1966-02-01,1966-12-31,21500,21500,0,"Türkiye, Republic of"
Standby Arrangement,1965-02-01,1965-12-31,21500,0,0,"Türkiye, Republic of"
Standby Arrangement,1964-02-15,1964-12-31,21500,19000,0,"Türkiye, Republic of"
Standby Arrangement,1963-02-15,1963-12-31,21500,21500,0,"Türkiye, Republic of"
Standby Arrangement,1962-03-30,1962-12-31,31000,15000,0,"Türkiye, Republic of"
Standby Arrangement,1961-01-01,1961-12-31,37500,16000,0,"Türkiye, Republic of"
Standby Arrangement,1983-09-16,1984-09-15,95000,65000,0,Uganda
Standby Arrangement,1982-08-11,1983-08-10,112500,112500,0,Uganda
Standby Arrangement,1981-06-05,1982-06-30,112500,112500,0,Uganda
Standby Arrangement,1980-01-04,1980-12-31,12500,12500,0,Uganda
Standby Arrangement,1971-07-22,1972-07-21,10000,10000,0,Uganda
Standby Arrangement,2020-06-09,2022-03-02,3600000,2000000,2000000,Ukraine
Standby Arrangement,2018-12-18,2020-02-17,2800000,1000000,375000,Ukraine
Standby Arrangement,2014-04-30,2015-03-10,10976000,2972670,0,Ukraine
Standby Arrangement,2010-07-28,2012-12-27,10000000,2250000,0,Ukraine
Standby Arrangement,2008-11-05,2010-07-28,11000000,7000000,0,Ukraine
Standby Arrangement,2004-03-29,2005-03-28,411600,0,0,Ukraine
Standby Arrangement,1997-08-25,1998-08-24,398920,181328,0,Ukraine
Standby Arrangement,1996-05-10,1997-02-23,598200,598200,0,Ukraine
Standby Arrangement,1995-04-07,1996-04-06,997300,538650,0,Ukraine
Standby Arrangement,1977-01-03,1979-01-02,3360000,2250000,0,United Kingdom
Standby Arrangement,1975-12-31,1976-12-30,700000,700000,0,United Kingdom
Standby Arrangement,1969-06-20,1970-06-19,1000000,1000000,0,United Kingdom
Standby Arrangement,1967-11-30,1968-11-29,1400000,1400000,0,United Kingdom
Standby Arrangement,1964-08-08,1965-08-07,1000000,1000000,0,United Kingdom
Standby Arrangement,1963-08-08,1964-08-07,1000000,0,0,United Kingdom
Standby Arrangement,1962-08-08,1963-08-07,1000000,0,0,United Kingdom
Standby Arrangement,1961-08-08,1962-08-07,500000,0,0,United Kingdom
Standby Arrangement,1958-12-22,1959-12-21,738530,0,0,United Kingdom
Standby Arrangement,1957-12-22,1958-12-21,738530,0,0,United Kingdom
Standby Arrangement,1956-12-22,1957-12-21,738530,0,0,United Kingdom
Standby Arrangement,1964-07-22,1965-07-21,500000,350000,0,United States
Standby Arrangement,1963-07-22,1964-07-21,500000,250000,0,United States
Standby Arrangement,2005-06-08,2006-12-27,766250,263590,0,Uruguay
Standby Arrangement,2000-05-31,2002-03-31,150000,150000,0,Uruguay
Standby Arrangement,1999-03-29,2000-03-28,70000,0,0,Uruguay
Standby Arrangement,1997-06-20,1999-03-19,125000,114200,0,Uruguay
Standby Arrangement,1996-03-01,1997-03-31,100000,0,0,Uruguay
Standby Arrangement,1992-07-01,1993-06-30,50000,15975,0,Uruguay
Standby Arrangement,1990-12-12,1992-03-15,94800,9000,0,Uruguay
Standby Arrangement,1985-09-27,1987-03-26,122850,122850,0,Uruguay
Standby Arrangement,1983-04-22,1985-04-21,378000,151200,0,Uruguay
Standby Arrangement,1981-07-15,1982-07-14,31500,31500,0,Uruguay
Standby Arrangement,1980-05-14,1981-05-13,21000,0,0,Uruguay
Standby Arrangement,1979-03-16,1980-03-15,21000,0,0,Uruguay
Standby Arrangement,1977-09-14,1978-09-13,25000,0,0,Uruguay
Standby Arrangement,1976-08-04,1977-08-03,25000,0,0,Uruguay
Standby Arrangement,1975-05-09,1976-05-08,17250,17250,0,Uruguay
Standby Arrangement,1972-06-27,1973-06-26,20000,20000,0,Uruguay
Standby Arrangement,1970-05-28,1971-05-27,13750,13750,0,Uruguay
Standby Arrangement,1968-03-01,1969-02-28,25000,20000,0,Uruguay
Standby Arrangement,1966-06-09,1967-06-08,15000,5000,0,Uruguay
Standby Arrangement,1962-10-04,1963-10-03,30000,15000,0,Uruguay
Standby Arrangement,1961-06-06,1962-06-05,30000,0,0,Uruguay
Standby Arrangement,1995-12-18,1997-03-17,124700,65450,0,"Uzbekistan, Republic of"
Standby Arrangement,1996-07-12,1997-07-11,975650,350000,0,Venezuela
Standby Arrangement,1960-04-07,1961-04-06,100000,0,0,Venezuela
Standby Arrangement,1993-10-06,1994-11-11,145000,108800,0,Vietnam
Standby Arrangement,1996-03-20,1997-06-19,132375,132375,0,"Yemen, Republic of"
Standby Arrangement,1986-02-21,1987-05-15,229800,35000,0,Zambia
Standby Arrangement,1984-07-26,1986-02-07,225000,80000,0,Zambia
Standby Arrangement,1983-04-18,1984-04-17,211500,144000,0,Zambia
Standby Arrangement,1978-04-26,1980-04-25,250000,250000,0,Zambia
Standby Arrangement,1976-07-30,1977-07-29,62000,8500,0,Zambia
Standby Arrangement,1973-05-04,1974-05-03,19000,19000,0,Zambia
Standby Arrangement,1999-08-02,2000-10-01,141360,24740,0,Zimbabwe
Standby Arrangement,1998-06-01,1999-06-30,130650,39200,0,Zimbabwe
Standby Arrangement,1983-03-23,1984-09-22,300000,175000,0,Zimbabwe
Standby Arrangement,1981-04-08,1982-04-07,37500,37500,0,Zimbabwe
Standby Arrangement ,2000-03-10,2003-01-23,16936800,9756310,0,Argentina
Standby Arrangement,2002-09-06,2005-03-31,27375120,17199638,0,Brazil
Standby Arrangement,2001-09-14,2002-09-05,12144400,11385374,0,Brazil
Standby Arrangement,1998-12-02,2001-09-14,13024800,9470750,0,Brazil
Standby Arrangement,1997-12-04,2000-12-03,15500000,14412500,0,Korea
Standby Arrangement,1999-12-22,2002-02-04,15038400,11738960,0,"Türkiye, Republic of"
Standby Arrangement ,2002-04-01,2005-03-31,1988500,1988500,0,Uruguay
Standby Credit Facility,2012-04-11,2014-04-10,125000,0,0,Georgia
Standby Credit Facility,2019-07-15,2022-01-14,179023,143218,143218,Honduras
Standby Credit Facility,2014-12-03,2016-12-02,51800,0,0,Honduras
Standby Credit Facility,2010-10-01,2012-03-31,64750,0,0,Honduras
Standby Credit Facility,2016-03-14,2018-03-13,354629,0,0,Kenya
Standby Credit Facility,2015-02-02,2016-03-14,135700,0,0,Kenya
Standby Credit Facility,2015-12-18,2017-06-17,204480,85200,18933,Mozambique
Standby Credit Facility,2016-06-08,2018-01-22,144180,144180,62078,Rwanda
Standby Credit Facility,2021-06-07,2023-01-09,194150,194150,194150,Senegal
Standby Credit Facility,2011-12-06,2012-12-05,5200,0,0,Solomon Islands
Standby Credit Facility,2010-06-02,2011-12-01,12480,12480,0,Solomon Islands
Standby Credit Facility,2012-07-06,2014-04-30,149175,74600,0,Tanzania
Structural Adjustment Facility Commitment,1987-02-06,1990-02-05,201250,201250,0,Bangladesh
Structural Adjustment Facility Commitment,1989-06-16,1992-06-15,21910,15650,0,Benin
Structural Adjustment Facility Commitment,1986-12-15,1988-07-27,57595,18140,0,Bolivia
Structural Adjustment Facility Commitment,1991-03-13,1993-03-31,22120,6320,0,Burkina Faso
Structural Adjustment Facility Commitment,1986-08-08,1989-08-07,29890,29890,0,Burundi
Structural Adjustment Facility Commitment,1987-06-01,1990-05-31,21280,21280,0,Central African Republic
Structural Adjustment Facility Commitment,1987-10-30,1990-10-29,21420,21420,0,Chad
Structural Adjustment Facility Commitment,1991-06-21,1994-06-20,3150,2250,0,Comoros
Structural Adjustment Facility Commitment,1987-05-15,1990-05-14,203700,145500,0,"Congo, Democratic Republic of"
Structural Adjustment Facility Commitment,1986-11-26,1989-11-25,2800,2800,0,Dominica
Structural Adjustment Facility Commitment,1988-12-07,1991-12-06,12880,9200,0,Equatorial Guinea
Structural Adjustment Facility Commitment,1992-10-28,1995-11-08,49420,49420,0,Ethiopia
Structural Adjustment Facility Commitment,1986-09-17,1988-11-23,10859,8550,0,"Gambia, The"
Structural Adjustment Facility Commitment,1987-11-06,1988-11-09,129858,40900,0,Ghana
Structural Adjustment Facility Commitment,1987-07-29,1990-07-28,40530,28950,0,Guinea
Structural Adjustment Facility Commitment,1987-10-14,1990-10-13,5250,3750,0,Guinea-Bissau
Structural Adjustment Facility Commitment,1986-12-17,1989-12-16,30870,8820,0,Haiti
